product_name,brands,categories_en,origins_en,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,nutrition-score-fr_100g
Raclette au lait cru,Reflets De France,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cow cheeses,Uncooked pressed cheeses,Unpasteurised cheeses,Sliced cheeses,Raclette",France,1493.0,28.0,18.3,1.0,1.0,25.5,1.5,15.0
Raclette au lait cru fabriquée en Franche-Comté,Reflets de France,"Dairies,Fermented foods,Fermented milk products,Cheeses,Raclette",France,1505.0,28.0,18.0,1.0,1.0,26.0,1.5,15.0
Velours de Crème Chocolat au lait,"La Laitière,Nestlé","Dairies,Desserts,Dairy desserts,Dessert creams,Chocolate desserts,Refrigerated dessert creams,Refrigerated chocolate custard dessert",France,904.0,11.8,7.7,21.7,20.5,5.0,0.17,13.0
Emmental Français,Top Budget,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cooked pressed cheeses,Cow cheeses,Emmentaler,French cheeses,French emmentaler,Pasteurized cheeses",France,1577.0,29.0,20.0,1.0,0.5,28.0,0.71,12.0
nems au porc,Le cantonnais,"Meals,Starters,Cold starters",France,774.0,5.5,1.6,24.9,3.1,8.3,1.6,5.0
Chipolata Supérieure,Jean Rozé,"Meats,Prepared meats,Sausages,French sausages,Chipolatas",France,762.0,9.4,3.8,0.5,0.5,17.0,2.1,14.0
4 saucisses de Toulouse supérieures,jean rozé,"Meats,Prepared meats,Sausages,French sausages,Pork,Toulouse sausages",France,766.0,9.4,3.8,0.5,0.5,17.0,2.1,14.0
Saucisse de Toulouse,Jean Rozé,"Meats,Prepared meats,Sausages,French sausages,Toulouse sausages",France,766.0,9.4,3.8,0.5,0.5,17.0,2.1,14.0
2 Pavés Marinés Échalote,"Jean Rozé,Intermarché","Meats,Fresh meats,Fresh meat preparations,Fresh beef preparations",France,397.0,1.3,0.6,0.7,0.5,20.0,1.0,0.0
2 Pavés Marinés Échalote,"Jean Rozé,Intermarché","Meats,Fresh meats,Fresh meat preparations,Refrigerated foods,Fresh beef preparations",France,397.0,1.3,0.6,0.7,0.5,20.0,1.0,0.0
ABONDANCE AOP AU LAIT CRU,Fromagerie CHABERT 74540 GRUFFY,"Dairies,Fermented foods,Fermented milk products,Cheeses,Half-cooked pressed cheeses",France,1669.0,34.0,21.0,0.5,0.5,25.0,1.5,15.0
jambon cru Aoste - Dentelles.,Aoste SNC,"Meats,Prepared meats,fr:Charcuteries diverses",France,1146.0,18.0,7.4,1.0,1.0,27.0,5.7,20.0
Poulet roti,"Intermarche,Volae","Meats,Poultries,Chickens,Cooked poultries,Cooked chicken,Roast chicken",France,761.0,10.0,3.2,0.5,0.5,23.0,0.97,4.0
Ribs de Porc à la Mexicaine,Netto,"Meals,Meat-based products,Meals with meat,Pork meals,fr:ribs-de-porc",France,1021.0,19.0,7.5,1.0,0.5,18.0,1.4,16.0
Jambon cuit supérieur,Intermarché,"Meats,Prepared meats,Hams,White hams",France,481.0,2.9,1.1,0.5,0.5,21.8,1.42,3.0
Boudin Noir aux Oignons,Intermarché,"Meats,Prepared meats,Fish and meat and eggs,Offals,fr:Boudins,Tripe dishes,Black pudding,Black pudding with onions,Sautéed black pudding",France,1180.0,24.6,9.3,3.0,1.9,11.5,1.37,18.0
Emmental au lait cru,Pâturages,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cooked pressed cheeses,Cow cheeses,Emmentaler,Unpasteurised cheeses,fr:emmentals-au-lait-cru",France,1632.0,31.0,20.5,1.0,0.5,27.5,0.41,10.0
2 Steak Hachés Pur Veau,Charal,"Meats,Veal meat,fr:steaks-de-veau",France,883.0,15.0,4.8,0.0,0.0,19.0,0.25,2.0
Filet de Poulet Rôti,"Volaé,Intermarché","Meats,Fresh meats,Poultries,Chickens,Chicken breasts",France,632.0,5.7,1.7,0.7,0.7,24.1,1.37,3.0
Fourne d'Ambert NRT AOP,Fromagerie de Saint Bonnet,"Dairies,Fermented foods,Fermented milk products,Cheeses,Pasteurized cheeses",France,1397.0,28.0,18.0,0.0,0.0,20.0,2.0,17.0
rôti de filet de dinde,père dodu,fr:viande-de-dinde-fraiche,France,2109.0,2.0,0.6,0.3,0.3,25.0,0.09,1.0
filet de poulet,la nouvelle agriculture,"Meats,Fresh meats",France,456.0,1.3,0.4,0.0,0.0,23.0,0.11,-4.0
poulet blanc prêt à cuire sans abat Na,la nouvelle agriculture,fr:classe-a,France,3125.0,11.0,2.8,0.0,0.0,20.0,0.15,11.0
cuisse de poulet,la nouvelle agriculture,"Meats,Fresh meats,Poultries,Chickens",France,828.0,14.0,3.5,0.0,0.0,18.0,0.18,0.0
